file,ticker,date,direction,confidence,horizon,fwd_return_pct,band_pct,band_scaled,null_p,correct,correct_legacy
AAPL_2026-07-20_1214.md,AAPL,2026-07-20,no-edge,3,5d,3.16,2.06,True,0.43724696356275305,False,False
AAPL_2026-07-20_1214.md,AAPL,2026-07-20,no-edge,3,21d,,3.43,True,0.32217573221757323,,
AAPL_2026-07-23_0104.md,AAPL,2026-07-23,no-edge,5,5d,3.66,2.06,True,0.4375,False,False
AAPL_2026-07-23_0104.md,AAPL,2026-07-23,no-edge,5,21d,,3.44,True,0.31875,,
AAPL_2026-07-25_1417.md,AAPL,2026-07-25,long,5,5d,-9.45,2.06,True,0.3326612903225806,False,False
AAPL_2026-07-25_1417.md,AAPL,2026-07-25,long,5,21d,,3.45,True,0.4395833333333333,,
AAPL_2026-08-03_2350.md,AAPL,2026-08-03,no-edge,3,5d,,2.06,True,0.4352226720647773,,
AAPL_2026-08-03_2350.md,AAPL,2026-08-03,no-edge,3,21d,,3.55,True,0.3389121338912134,,
AMZN_2026-07-21_1408.md,AMZN,2026-07-21,no-edge,3,5d,-6.74,2.29,True,0.4222222222222222,False,False
AMZN_2026-07-21_1408.md,AMZN,2026-07-21,no-edge,3,21d,,4.51,True,0.35908141962421714,,
AMZN_2026-07-23_0107.md,AMZN,2026-07-23,no-edge,3,5d,0.79,2.29,True,0.4213709677419355,True,True
AMZN_2026-07-23_0107.md,AMZN,2026-07-23,no-edge,3,21d,,4.51,True,0.3541666666666667,,
AMZN_2026-07-25_1420.md,AMZN,2026-07-25,no-edge,3,5d,22.63,2.29,True,0.4213709677419355,False,False
AMZN_2026-07-25_1420.md,AMZN,2026-07-25,no-edge,3,21d,,4.51,True,0.35208333333333336,,
AMZN_2026-08-03_2352.md,AMZN,2026-08-03,no-edge,4,5d,,2.28,True,0.41700404858299595,,
AMZN_2026-08-03_2352.md,AMZN,2026-08-03,no-edge,4,21d,,4.51,True,0.35564853556485354,,
ASML_2026-07-25_1429.md,ASML,2026-07-25,no-edge,3,5d,-0.29,2.8,True,0.45564516129032256,True,True
ASML_2026-07-25_1429.md,ASML,2026-07-25,no-edge,3,21d,,5.56,True,0.3729166666666667,,
ASML_2026-08-04_0000.md,ASML,2026-08-04,no-edge,3,5d,,2.83,True,0.45454545454545453,,
ASML_2026-08-04_0000.md,ASML,2026-08-04,no-edge,3,21d,,5.64,True,0.36325678496868474,,
AVGO_2026-07-25_1428.md,AVGO,2026-07-25,no-edge,4,5d,2.38,3.71,True,0.48185483870967744,True,False
AVGO_2026-07-25_1428.md,AVGO,2026-07-25,no-edge,4,21d,,7.0,True,0.4395833333333333,,
AVGO_2026-08-03_2359.md,AVGO,2026-08-03,long,4,5d,,3.7,True,0.305668016194332,,
AVGO_2026-08-03_2359.md,AVGO,2026-08-03,long,4,21d,,7.01,True,0.37656903765690375,,
DIS_2026-07-21_1415.md,DIS,2026-07-21,no-edge,3,5d,2.86,1.96,True,0.4909090909090909,False,False
DIS_2026-07-21_1415.md,DIS,2026-07-21,no-edge,3,21d,,4.5,True,0.4801670146137787,,
DIS_2026-07-23_0113.md,DIS,2026-07-23,short,6,5d,3.59,1.96,True,0.24193548387096775,False,False
DIS_2026-07-23_0113.md,DIS,2026-07-23,short,6,21d,,4.5,True,0.26875,,
DIS_2026-07-25_1426.md,DIS,2026-07-25,short,5,5d,1.35,1.96,True,0.2439516129032258,False,False
DIS_2026-07-25_1426.md,DIS,2026-07-25,short,5,21d,,4.51,True,0.27291666666666664,,
DIS_2026-08-03_2357.md,DIS,2026-08-03,no-edge,3,5d,,1.94,True,0.4939271255060729,,
DIS_2026-08-03_2357.md,DIS,2026-08-03,no-edge,3,21d,,4.52,True,0.47489539748953974,,
GOOGL_2026-07-21_1407.md,GOOGL,2026-07-21,no-edge,3,5d,-3.87,2.23,True,0.41818181818181815,False,False
GOOGL_2026-07-21_1407.md,GOOGL,2026-07-21,no-edge,3,21d,,4.79,True,0.34237995824634654,,
GOOGL_2026-07-23_0106.md,GOOGL,2026-07-23,no-edge,1,5d,5.03,2.23,True,0.4173387096774194,False,False
GOOGL_2026-07-23_0106.md,GOOGL,2026-07-23,no-edge,1,21d,,4.78,True,0.34375,,
GOOGL_2026-07-25_1419.md,GOOGL,2026-07-25,short,4,5d,14.93,2.24,True,0.23790322580645162,False,False
GOOGL_2026-07-25_1419.md,GOOGL,2026-07-25,short,4,21d,,4.78,True,0.20208333333333334,,
GOOGL_2026-08-03_2351.md,GOOGL,2026-08-03,no-edge,4,5d,,2.25,True,0.4149797570850202,,
GOOGL_2026-08-03_2351.md,GOOGL,2026-08-03,no-edge,4,21d,,4.79,True,0.3389121338912134,,
JNJ_2026-07-21_1412.md,JNJ,2026-07-21,no-edge,1,5d,6.43,1.31,True,0.4080808080808081,False,False
JNJ_2026-07-21_1412.md,JNJ,2026-07-21,no-edge,1,21d,,2.83,True,0.37160751565762007,,
JNJ_2026-07-23_0109.md,JNJ,2026-07-23,no-edge,4,5d,-1.33,1.31,True,0.4092741935483871,False,True
JNJ_2026-07-23_0109.md,JNJ,2026-07-23,no-edge,4,21d,,2.84,True,0.3729166666666667,,
JNJ_2026-07-25_1422.md,JNJ,2026-07-25,no-edge,4,5d,-4.61,1.31,True,0.40725806451612906,False,False
JNJ_2026-07-25_1422.md,JNJ,2026-07-25,no-edge,4,21d,,2.85,True,0.375,,
JNJ_2026-08-03_2354.md,JNJ,2026-08-03,no-edge,3,5d,,1.33,True,0.4048582995951417,,
JNJ_2026-08-03_2354.md,JNJ,2026-08-03,no-edge,3,21d,,2.86,True,0.37656903765690375,,
JPM_2026-07-21_1409.md,JPM,2026-07-21,long,5,5d,3.5,1.69,True,0.3616161616161616,True,True
JPM_2026-07-21_1409.md,JPM,2026-07-21,long,5,21d,,3.25,True,0.4613778705636743,,
JPM_2026-07-23_0108.md,JPM,2026-07-23,no-edge,5,5d,0.27,1.69,True,0.4153225806451613,True,True
JPM_2026-07-23_0108.md,JPM,2026-07-23,no-edge,5,21d,,3.24,True,0.36041666666666666,,
JPM_2026-07-25_1421.md,JPM,2026-07-25,no-edge,6,5d,-1.28,1.69,True,0.4153225806451613,True,True
JPM_2026-07-25_1421.md,JPM,2026-07-25,no-edge,6,21d,,3.25,True,0.35833333333333334,,
JPM_2026-08-03_2353.md,JPM,2026-08-03,no-edge,3,5d,,1.66,True,0.4190283400809717,,
JPM_2026-08-03_2353.md,JPM,2026-08-03,no-edge,3,21d,,3.25,True,0.3577405857740586,,
KO_2026-07-21_1415.md,KO,2026-07-21,long,4,5d,7.69,1.18,True,0.3333333333333333,True,True
KO_2026-07-21_1415.md,KO,2026-07-21,long,4,21d,,2.45,True,0.3444676409185804,,
KO_2026-07-23_0112.md,KO,2026-07-23,no-edge,1,5d,9.02,1.18,True,0.42338709677419356,False,False
KO_2026-07-23_0112.md,KO,2026-07-23,no-edge,1,21d,,2.45,True,0.44583333333333336,,
KO_2026-07-25_1425.md,KO,2026-07-25,no-edge,3,5d,3.43,1.18,True,0.4254032258064516,False,False
KO_2026-07-25_1425.md,KO,2026-07-25,no-edge,3,21d,,2.44,True,0.4479166666666667,,
KO_2026-08-03_2356.md,KO,2026-08-03,no-edge,4,5d,,1.22,True,0.4352226720647773,,
KO_2026-08-03_2356.md,KO,2026-08-03,no-edge,4,21d,,2.45,True,0.45188284518828453,,
MSFT_2026-07-21_1406.md,MSFT,2026-07-21,short,4,5d,-1.11,1.87,True,0.2868686868686869,False,True
MSFT_2026-07-21_1406.md,MSFT,2026-07-21,short,4,21d,,3.65,True,0.2797494780793319,,
MSFT_2026-07-23_0105.md,MSFT,2026-07-23,no-edge,3,5d,18.22,1.87,True,0.4213709677419355,False,False
MSFT_2026-07-23_0105.md,MSFT,2026-07-23,no-edge,3,21d,,3.65,True,0.45416666666666666,,
MSFT_2026-07-25_1418.md,MSFT,2026-07-25,no-edge,3,5d,26.25,1.87,True,0.4213709677419355,False,False
MSFT_2026-07-25_1418.md,MSFT,2026-07-25,no-edge,3,21d,,3.65,True,0.45416666666666666,,
MSFT_2026-08-03_2351.md,MSFT,2026-08-03,no-edge,6,5d,,1.96,True,0.44534412955465585,,
MSFT_2026-08-03_2351.md,MSFT,2026-08-03,no-edge,6,21d,,3.73,True,0.4476987447698745,,
NVDA_2026-07-21_1416.md,NVDA,2026-07-21,no-edge,3,5d,-4.96,3.12,True,0.4,False,False
NVDA_2026-07-21_1416.md,NVDA,2026-07-21,no-edge,3,21d,,5.15,True,0.40501043841336115,,
NVDA_2026-07-23_0113.md,NVDA,2026-07-23,long,6,5d,-6.57,3.11,True,0.34475806451612906,False,False
NVDA_2026-07-23_0113.md,NVDA,2026-07-23,long,6,21d,,5.15,True,0.36666666666666664,,
NVDA_2026-07-25_1426.md,NVDA,2026-07-25,no-edge,3,5d,5.83,3.09,True,0.4032258064516129,False,False
NVDA_2026-07-25_1426.md,NVDA,2026-07-25,no-edge,3,21d,,5.15,True,0.40625,,
NVDA_2026-08-03_2358.md,NVDA,2026-08-03,no-edge,3,5d,,3.08,True,0.4008097165991903,,
NVDA_2026-08-03_2358.md,NVDA,2026-08-03,no-edge,3,21d,,5.13,True,0.4121338912133891,,
PG_2026-07-21_1412.md,PG,2026-07-21,no-edge,3,5d,1.28,1.27,True,0.37777777777777777,False,True
PG_2026-07-21_1412.md,PG,2026-07-21,no-edge,3,21d,,2.3,True,0.3903966597077244,,
PG_2026-07-23_0110.md,PG,2026-07-23,no-edge,3,5d,-1.32,1.27,True,0.37701612903225806,False,True
PG_2026-07-23_0110.md,PG,2026-07-23,no-edge,3,21d,,2.29,True,0.39166666666666666,,
PG_2026-07-25_1423.md,PG,2026-07-25,no-edge,3,5d,-2.66,1.27,True,0.3790322580645161,False,False
