date,dir,shares,entry,exit,reason,pnl,equity
2026-04-22,S,60,648.8099975585938,650.4600219726562,stop,-99.06146484375,9900.93853515625
2026-04-23,S,60,653.27001953125,653.5700073242188,stop,-18.059267578125,9882.879267578126
2026-04-24,L,60,658.780029296875,657.72998046875,stop,-63.0629296875,9819.816337890627
2026-04-27,S,59,662.4299926757812,663.8499755859375,stop,-83.83799169921875,9735.978346191408
2026-04-28,S,59,656.969970703125,657.4600219726562,stop,-28.97202490234375,9707.006321289065
2026-04-29,S,58,657.1500244140625,658.8200073242188,stop,-96.9170087890625,9610.089312500002
2026-04-30,S,28,661.9500122070312,665.31201171875,stop,-94.163986328125,9515.925326171877
2026-05-01,L,33,671.5999755859375,674.1599731445312,eod,84.44691943359375,9600.372245605471
2026-05-04,S,56,673.9600219726562,675.1146240234375,stop,-64.71371484375,9535.65853076172
2026-05-05,L,56,678.8300170898438,681.510009765625,eod,150.02358984375,9685.68212060547
2026-05-06,L,36,689.0999755859375,695.5900268554688,eod,233.605845703125,9919.287966308595
2026-05-07,L,56,696.8400268554688,695.9199829101562,stop,-51.5784609375,9867.709505371095
2026-05-08,L,41,701.9299926757812,711.1099853515625,eod,376.33869970703125,10244.048205078127
2026-05-11,L,29,713.27001953125,709.7999877929688,stop,-100.65992041015625,10143.38828466797
2026-05-12,S,57,707.8236083984375,708.5180053710938,stop,-39.63762744140625,10103.750657226563
2026-05-13,S,56,709.3200073242188,709.9500122070312,stop,-35.3362734375,10068.414383789062
2026-05-14,L,45,716.4201049804688,719.7150268554688,eod,148.226484375,10216.640868164062
2026-05-15,S,57,709.5499877929688,710.4000244140625,stop,-48.50908740234375,10168.131780761718
2026-05-18,S,57,710.3200073242188,705.7000122070312,eod,263.2827216796875,10431.414502441405
2026-05-19,L,39,702.4299926757812,699.8099975585938,stop,-102.2188095703125,10329.195692871092
2026-05-20,L,58,706.77001953125,705.260009765625,stop,-87.63856640625,10241.55712646484
2026-05-21,L,45,710.2100219726562,707.9400024414062,stop,-102.19587890625,10139.36124755859
2026-05-22,L,43,719.75,717.4199829101562,stop,-100.23373486328126,10039.12751269531
2026-05-26,S,48,724.7050170898438,726.760009765625,stop,-98.6876484375,9940.439864257809
2026-05-27,S,54,731.8400268554688,729.489990234375,eod,126.8479775390625,10067.287841796871
2026-05-28,S,41,728.6799926757812,731.1199951171875,stop,-100.08110009765625,9967.206741699216
2026-05-29,S,54,737.6500244140625,738.9000244140625,stop,-67.554,9899.652741699216
2026-06-01,L,53,737.969970703125,736.2999877929688,stop,-88.56209423828125,9811.090647460935
2026-06-02,S,45,740.52001953125,742.6599731445312,stop,-96.34291259765625,9714.747734863278
2026-06-03,S,43,746.3900146484375,744.2542114257812,eod,91.79653857421874,9806.544273437497
2026-06-04,L,30,737.3200073242188,734.0700073242188,stop,-97.53,9709.014273437497
2026-06-05,L,53,730.280029296875,729.1300048828125,stop,-61.0042939453125,9648.009979492184
2026-06-08,S,23,715.1599731445312,719.2100219726562,stop,-93.174123046875,9554.83585644531
2026-06-09,S,46,721.0,723.0399780273438,stop,-93.8849892578125,9460.950867187497
2026-06-10,S,22,699.8800048828125,704.0250244140625,stop,-91.2124296875,9369.738437499997
2026-06-11,S,35,697.72998046875,700.3400268554688,stop,-91.38662353515625,9278.35181396484
2026-06-12,S,24,713.8674926757812,717.6699829101562,stop,-91.283765625,9187.068048339841
2026-06-15,L,49,738.6400146484375,743.8099975585938,eod,253.28016259765624,9440.348210937496
2026-06-16,S,50,741.8400268554688,742.5,stop,-33.0486572265625,9407.299553710935
2026-06-17,S,45,733.1599731445312,735.25,stop,-94.09620849609375,9313.20334521484
2026-06-18,S,30,734.6300048828125,737.6400146484375,stop,-90.33029296875,9222.87305224609
2026-06-22,S,32,741.1500244140625,744.010009765625,stop,-91.55153125,9131.32152099609
2026-06-23,L,26,716.780029296875,713.280029296875,stop,-91.026,9040.295520996091
2026-06-24,L,21,717.719970703125,713.5499877929688,stop,-87.59064111328125,8952.70487988281
2026-06-25,S,27,723.5599975585938,716.260009765625,eod,197.07267041015626,9149.777550292965
2026-06-26,S,27,704.0499877929688,707.3800048828125,stop,-89.93746142578125,9059.840088867184
2026-06-29,L,18,716.8599853515625,711.8800048828125,stop,-89.6576484375,8970.182440429684
2026-06-30,L,25,727.47998046875,735.760009765625,eod,206.975732421875,9177.15817285156
2026-07-01,S,26,726.22998046875,729.7000122070312,stop,-90.2468251953125,9086.911347656247
2026-07-02,L,29,726.9400024414062,723.8800048828125,stop,-88.76892919921875,8998.142418457028
2026-07-06,L,25,722.02001953125,722.6500244140625,eod,15.7251220703125,9013.86754052734
2026-07-07,S,24,712.6199951171875,709.3800048828125,eod,77.735765625,9091.603306152341
2026-07-08,L,36,707.4199829101562,704.9400024414062,stop,-89.315296875,9002.288009277341
2026-07-09,L,34,719.0800170898438,716.5,stop,-87.7545810546875,8914.533428222654
2026-07-10,L,41,722.3800048828125,720.219970703125,stop,-88.6024013671875,8825.931026855467
2026-07-13,S,49,716.7247924804688,718.4299926757812,stop,-83.6038095703125,8742.327217285154
2026-07-14,S,29,717.3300170898438,720.2860107421875,stop,-85.75281591796875,8656.574401367185
2026-07-15,S,47,723.7899780273438,718.1900024414062,target,263.1518525390625,8919.726253906247
2026-07-16,S,41,711.4400024414062,713.594970703125,stop,-88.39469873046875,8831.331555175779
2026-07-17,S,27,690.3099975585938,693.5399780273438,stop,-87.23647265625,8744.095082519529
